File,InputSNR_dB,OutputSNR_dB,DeltaSNR_dB,CR
Η πόλη της Θεσσαλονί.wav,10.0048301190486,-2.9070878870573,-12.9119180061059,5.95318418327894
Η πόλη της Θεσσαλονί.wav,20.0047287412601,-2.73783804700935,-22.7425667882694,5.95318418327894
Η πόλη της Θεσσαλονί.wav,29.9860612251435,-2.72045544228435,-32.7065166674278,5.95318418327894
